experience/0/company,experience/1/company,experience/2/company,experience/3/company,experience/4/company,experience/0/date_range,experience/1/date_range,experience/2/date_range,experience/3/date_range,experience/4/date_range,experience/0/name,experience/1/name,experience/2/name,experience/3/name,experience/4/name,education/0,education/1,education/2,position
ulsee,avalanche computing,"realtek semiconductor co., ltd.",none,none,"Dates Employed
Dec 2019 – Present","Dates Employed
Mar 2019 – Apr 2019","Dates Employed
Jul 2015 – Dec 2015",,,"machine,learning,engineer","deep,learning,application,engineer,intern","internal,qa",none,none,national chiao tung university,national chiao tung university,none,"machine,learning,engineer,at,ulsee"
"academia sinica, taiwan",national tsing hua university,none,none,none,"Dates Employed
Aug 2014 – Sep 2014","Dates Employed
Sep 2013 – Jun 2014",,,,internship,"teaching,assistant",none,none,none,national tsing hua university,national cheng kung university,none,"kaikutek,inc,ai,machine,learning,development,technical,lead"
androvideo,go gym,none,none,none,"Dates Employed
Mar 2019 – Present","Dates Employed
Jul 2016 – Jun 2018",,,,"machine,learning,engineer","personal,trainer",none,none,none,national chiao tung university,none,none,"machine,learning,engineer"
facebook,none,none,none,none,"Dates Employed
Nov 2018 – Jan 2019",,,,,"pytorch,scholarship,challenge",none,none,none,none,national taiwan university,national cheng kung university,udacity,"artificial,intelligence,machine,learning,data,scientist"
taiwan ai labs,none,none,none,none,"Dates Employed
Nov 2018 – Jan 2020",,,,,"machine,learning,engineer",none,none,none,none,national tsing hua university,national tsing hua university,none,"machine,learning,engineer"
huawei,nctu europe,national chiao tung university,none,none,"Dates Employed
Apr 2018 – Sep 2019","Dates Employed
Aug 2009 – Jun 2010","Dates Employed
Feb 2009 – Jun 2009",,,"senior,software,engineer","public,relation","oop,teaching,assistant",none,none,national chiao tung university,chalmers university of technology,national chiao tung university,"senior,artificial,intelligence,research,engineer,in,nlp,and,machine,learning"
yushan financial holdings,bridgewell,tsmc,ur warm pet cafe,national taiwan university,"Dates Employed
Apr 2020 – Present","Dates Employed
Apr 2018 – Apr 2020","Dates Employed
Nov 2015 – Apr 2018","Dates Employed
2017 – 2018","Dates Employed
2012 – 2014","machine,learning,engineer","machine,learning,engineer","rd,engineer","resident,singer","teaching,assistant,of,general,physics,experiment",national taiwan university,national sun yat-sen university,none,"yushan,golden,control,machine,learning,engineer"
gogoro,boyu technology growth machine,eastern online co. ltd,none,none,"Dates Employed
Dec 2019 – Present","Dates Employed
Feb 2019 – Oct 2019","Dates Employed
Mar 2018 – Oct 2018",,,"machine,learning,engineer",engineer,"assistant,engineer",none,none,national central university,none,none,"machine,learning,researcher"
taiwan ai labs,national taiwan university,academia sinica,中華電信,玉山金控,"Dates Employed
Jul 2020 – Present","Dates Employed
Aug 2019 – Jul 2020","Dates Employed
Jul 2018 – Oct 2019","Dates Employed
Jul 2018 – Jan 2019","Dates Employed
May 2017 – Mar 2018","machine,learning,engineer","research,assistant","research,intern","project,engineer","project,engineer",national taiwan university,national taiwan university,taipei city chenggong senior high school,"research,assistant,national,taiwan,university,csie"
knowtions research,wistron,"yongfengyu investment holdings co., ltd.",none,none,"Dates Employed
Jun 2020 – Present","Dates Employed
Jul 2018 – Present","Dates Employed
Aug 2016 – Jul 2018",,,"machine,learning,engineer","data,scientist",engineer,none,none,national taiwan university,none,none,"knowtions,research,machine,learning,engineer"
cinnamon ai labs,national defense medical center,national taiwan university computer and information networking center,national taiwan university department of electrical engineering,none,"Dates Employed
Sep 2018 – Present","Dates Employed
Aug 2017 – Jul 2018","Dates Employed
Feb 2016 – Jul 2017","Dates Employed
Jan 2016 – Oct 2016",,"ai,researcher","second,lieutenant","research,assistant",instructor,none,national taiwan university,mines paristech,national taiwan university,"evolutionary,algorithm,machine,learning"
"ctbc bank co., ltd. china trust bank",fareastone telecom,jacksoft,none,none,"Dates Employed
Sep 2018 – Present","Dates Employed
Aug 2016 – Aug 2018","Dates Employed
Jan 2009 – Jul 2011",,,"machine,learning,specialist","big,data,intelligence,assistant,manager",programmer,none,none,taiwan ai academy (taiwan ai academy),national chung cheng university,national united university,"machine,learning,specialist"
brandimage.io,red peak,synology,red pagoda resources,city domination,"Dates Employed
Jul 2019 – Present","Dates Employed
Nov 2016 – Apr 2019","Dates Employed
Aug 2015 – Oct 2015","Dates Employed
Apr 2014 – Sep 2014","Dates Employed
Jan 2012 – Sep 2013","ml,engineer,personal,project","brand,strategist","product,specialist","data,engineer,intern",cofounder,national institute of applied sciences of lyon,tsinghua university,national taiwan normal university,"machine,learning,engineer"
italian blue information,none,none,none,none,"Dates Employed
Dec 2014 – Oct 2017",,,,,"chief,engineer",none,none,none,none,national taiwan normal university,national taiwan normal university,none,"machine,learning,engineer"
raisetech,institute for information industry,taiwan ai academy,chunghwa telecom,delta electronics,"Dates Employed
Mar 2020 – Present","Dates Employed
Jun 2018 – Mar 2020","Dates Employed
May 2018 – Aug 2018","Dates Employed
Sep 2017 – Jun 2018","Dates Employed
Sep 2014 – Aug 2017","senior,data,scientist","principal,ai,engineer","ai,technical,professional","ai,algorithm,engineer,nlp,chatbot","principal,nlp,engineer",national chiao tung university,national taipei university of technology,none,"principal,artificial,intelligence,engineer,machine,learning,professional"
aiello,"baishang digital technology co., ltd.",political university,none,none,"Dates Employed
Mar 2020 – Present","Dates Employed
Oct 2018 – Dec 2019","Dates Employed
2016 – 2017",,,"nlu,developer","ai,algorithm,engineer","teaching,assistant",none,none,political university,taiwan university,none,"machine,learning,engineer,nlp"
ai4quant,erlich's house,national taiwan university,china productivity center,none,"Dates Employed
May 2019 – Present","Dates Employed
Feb 2018 – May 2019","Dates Employed
Aug 2012 – Aug 2014","Dates Employed
Mar 2008 – Jun 2009",,"machine,learning,research,engineer",engineer,"research,assistant","associate,engineer",none,national taiwan university,national tsing hua university,none,"machine,learning,research,engineer,at,ai4quant"
ali corporation,htc,splashtop inc.,geovision,uniform industrial corporation,"Dates Employed
Aug 2017 – Present","Dates Employed
Jan 2014 – May 2017","Dates Employed
Mar 2012 – Nov 2013","Dates Employed
Mar 2009 – Feb 2012","Dates Employed
Jan 2005 – Mar 2009","computer,visionmachine,learning,engineer","principal,engineer","senior,engineer","senior,engineer","advanced,engineer",national taiwan normal university,none,none,"computer,vision,machine,learning,engineer"
cardinal blue software (piccollage),dell,none,none,none,"Dates Employed
Aug 2018 – Present","Dates Employed
Jul 2015 – Aug 2015",,,,"machine,learning,engineer","software,engineer,intern",none,none,none,national taiwan university,kth royal institute of technology,national taiwan university,"machine,learning,engineer,at,cardinal,blue,software,piccollage"
"digital identity co., ltd.",academia sinica,none,none,none,"Dates Employed
Oct 2019 – Present","Dates Employed
Oct 2017 – Sep 2019",,,,"machine,learning,engineer","research,assistant",none,none,none,national cheng kung university,none,none,"digital,identity,co,ltd,machine,learning,engineer"
taiwan advanced intelligent tech,taiwan intelligent tech corporation,bitfly,"sms co.,ltd",none,"Dates Employed
Jul 2019 – Present","Dates Employed
Sep 2017 – Present","Dates Employed
Apr 2014 – May 2017","Dates Employed
Dec 2012 – Feb 2014",,"ai,scientist","machine,learning,scientist","quantitative,developer","software,developer",none,national taiwan university,national taiwan university,national central university,"ai,scientist,at,taiwan,advanced,intelligent,tech"
"yike coffee co., ltd.",none,none,none,none,"Dates Employed
May 2013 – Oct 2014",,,,,"crew,member",none,none,none,none,san jose state university,chung yuan university,none,"machine,learning,deep,learning,ms,in,computer,engineering"
none,none,none,none,none,,,,,,none,none,none,none,none,national central university,senior high school,none,"machine,learning,and,software,engineer"
wejump ar,mobage l,none,none,none,"Dates Employed
Oct 2019 – Present","Dates Employed
Dec 2018 – Mar 2019",,,,"machine,learning,engineer","data,scientist,intern",none,none,none,national dong hwa university,national dong hwa university,none,"machine,learning,engineer"
trend micro,orange,service architecture lab,微軟,none,"Dates Employed
Dec 2019 – Present","Dates Employed
Mar 2018 – Sep 2018","Dates Employed
Oct 2017 – Mar 2018","Dates Employed
Jul 2014 – Jun 2015",,"machine,learning,engineer","research,development,engineer",researcher,"project,manager",none,telecom sudparis,national chiao tung university,paris-saclay university,"machine,learning,engineer,trend,micro"
"mercari, inc.",informaship,titansoft pte ltd,cinema107,liberation festival,"Dates Employed
Oct 2018 – Present","Dates Employed
Sep 2016 – Present","Dates Employed
May 2015 – Sep 2016","Dates Employed
Sep 2012 – Apr 2015","Dates Employed
Oct 2012 – Sep 2014","machine,learning,engineer","data,scientist","full,stack,engineer",designer,marcom,national tsing hua university,national central university,tsz-shiou senior high school,"machine,learning,engineer,at,mercari,inc"
kneron,"uneo inc. li yong global technology co., ltd.",none,none,none,"Dates Employed
Apr 2020 – Present","Dates Employed
Sep 2016 – Dec 2018",,,,"machine,learning,engineer","research,development,software,engineer,internship",none,none,none,national taiwan university,national chung hsing university,none,"machine,learning,engineer,kneron"
takema smart emotibot,acer,none,none,none,"Dates Employed
Jul 2019 – Present","Dates Employed
Aug 2018 – Jul 2019",,,,"machine,learning,engineer","project,engineer,sw,rd",none,none,none,national tsinghua university,national tsinghua university,none,"takema,smart,emotibot,machine,learning,engineer"
cattail is also beautiful,none,none,none,none,"Dates Employed
Aug 2019 – Present",,,,,"machine,learning,engineer",none,none,none,none,national taiwan university,national tsinghua university,national central university,"gamamobi,machine,learning,engineer"
none,none,none,none,none,,,,,,none,none,none,none,none,national sun yat-sen university,tamkang university,none,"machine,learning,algorithm,engineer,recommendation"
ticking,advantech,none,none,none,"Dates Employed
Jun 2019 – Nov 2019","Dates Employed
Sep 2016 – Aug 2018",,,,"senior,software,engineer","frontend,developer",none,none,none,udacity,national tsing hua university,none,"machine,learning,practitioner"
appier,oath,national taiwan university,hewllet-packard,none,"Dates Employed
Jan 2019 – Present","Dates Employed
Aug 2017 – Sep 2017","Dates Employed
Aug 2016 – Jan 2017","Dates Employed
Aug 2015 – Jan 2016",,"machine,learning,scientist","data,team,intern","teaching,assistant","server,platfrom,intern",none,national taiwan university,national taiwan university,none,"appier,machine,learning,scientist"
